orgcode,description,trust,country,emergency_adm,respiratory_adm,asthma_adm,admsperbed,respadmsperbed,asthmaadmsper1000adms,howmanypaediatr_icasthmapatients,doesyourhospita_ntscanbeadmitted,q1_2ahowmanybed_aediatrichduhave,q1_3doesyourhos_ntscanbeadmitted,q1_3ahowmanybedsdoesyourpicuhave,fy1fy2filledcat,fy1fy2filledwte,fy1fy2filledphr,fy1fy2filledpha,st1st2filledcat,st1st2filledwte,st1st2filledphr,st1st2filledpha,st3andabovefilledcat,st3andabovefilledwte,st3andabovefilledphr,st3andabovefilledpha,paediatricconsultantfilledcat,paediatricconsultantfilledwte,paediatricconsultantfilledphr,paediatricconsultantfilledpha,paediatricrespi_sultantfilledcat,paediatricrespi_sultantfilledwte,paediatricrespi_sultantfilledphr,paediatricrespi_sultantfilledpha,associatespecialistfilledcat,associatespecialistfilledwte,associatespecialistfilledphr,associatespecialistfilledpha,staffgradefilledcat,staffgradefilledwte,staffgradefilledphr,staffgradefilledpha,asthmanursespecialistfilledcat,asthmanursespecialistfilledwte,asthmanursespecialistfilledphr,asthmanursespecialistfilledpha,nurseconsultant_stnursefilledcat,nurseconsultant_stnursefilledwte,nurseconsultant_stnursefilledphr,nurseconsultant_stnursefilledpha,specialistrespi_erapistfilledcat,specialistrespi_erapistfilledwte,specialistrespi_erapistfilledphr,specialistrespi_erapistfilledpha,paediatricpsychologistfilledcat,paediatricpsychologistfilledwte,paediatricpsychologistfilledphr,paediatricpsychologistfilledpha,paediatricpharmacistfilledcat,paediatricpharmacistfilledwte,paediatricpharmacistfilledphr,paediatricpharmacistfilledpha,othernotlistedfilledcat,othernotlistedfilledwte,othernotlistedfilledphr,othernotlistedfilledpha,fy1fy2unfilledcat,fy1fy2unfilledwte,st1st2unfilledcat,st1st2unfilledwte,st3andaboveunfilledcat,st3andaboveunfilledwte,paediatricconsultantunfilledcat,paediatricconsultantunfilledwte,paediatricrespi_ltantunfilledcat,paediatricrespi_ltantunfilledwte,associatespecialistunfilledcat,associatespecialistunfilledwte,staffgradeunfilledcat,staffgradeunfilledwte,asthmanursespecialistunfilledcat,asthmanursespecialistunfilledwte,nurseconsultant_nurseunfilledcat,nurseconsultant_nurseunfilledwte,specialistrespi_rapisunfilledcat,specialistrespi_rapisunfilledwte,paediatricpsych_ogistunfilledcat,paediatricpsych_ogistunfilledwte,paediatricpharmacistunfilledcat,paediatricpharmacistunfilledwte,othernotlistedunfilledcat,othernotlistedunfilledwte,q3_1aroutinelyr_raboveonweekdays,q3_1broutinelyr_raboveonweekends,q3_2whichadmitt_respiratorynurse,q3_3accesstoano_mapatientsonsite,q3_3accesstoano_tientsonthephone,q3_3accesstoano_loutreachservice,q3_4isyourservi_ricasthmanetwork,q3_5designatedn_orasthmaservices,q3_5aisthisrolecurrentlyfilled,q3_5bistheasthm_paediatricasthma,q3_6doesyourhos_paediatricasthma,q3_6aifnotdoyou_ricasthmaservice,q3_7doesasthmal_lorsevereillness,q3_8smokingcess_ostparentscarers,q3_8apleaseletu_ionofthisservice,q3_9smokingcess_icasthmapatients,q3_9apleaseletu_ionofthisservice,q3_10doyouhavea_ntscanbereferred,q3_11canthepaed_icepostdischarge,q3_1doyouhaveac_tientsspirometry,q3_1doyouhaveac_xpiratoryflowpef,q3_1doyouhaveac_dnitricoxidefeno,q3_1doyouhaveac_ntsskinpricktest,q3_1doyouhaveac_thmapatientsnone,q4_1picuoutreac_vicedaysweekdays,q4_1picuoutreac_vicedaysweekends,q4_1picuoutreac_cedaysoutofhours,q4_1picuoutreac_ooutreachservice,q4_2seniordecis_dpaudaysweekdays,q4_2seniordecis_dpaudaysweekends,q4_2seniordecis_audaysoutofhours,q4_2seniordecis_roundpaudaysnone,q4_3seniordecis_ardsdaysweekdays,q4_3seniordecis_ardsdaysweekends,q4_3seniordecis_dsdaysoutofhours,q4_3seniordecis_ricwardsdaysnone,q4_4respiratory_entsdaysweekdays,q4_4respiratory_entsdaysweekends,q4_4respiratory_tsdaysoutofhours,q4_4respiratory_rynurseavailable,q5_1doesthepaed_trecordeprsystem,q5_2doesyourhos_tricoxygenpolicy,q5_3dothewardba_criptionofoxygen,q5_4doesyourhos_etectione_g_pews,q5_4a_ew_targeto2,q5_4a_ew_actualo2,q5_4adoesyourea_ygenadministered,q5_4adoesyourea_ednoneoftheabove,q5_4bearlywarni_echildyoungadult,q6_1doesyourtru_icasthmaservices,q6_1aifyesdoest_errepresentation,q6_2howoftenisa_rvicesundertaken,q7_1processfort_oftheircondition,q7_1processfort_entthesamerecord,q7_1processfort_eirparentscarers,q7_1processfort_rersareaddressed,q7_1processfort_dadultclinicians,q7_1processfort_intheadultsystem,q7_1processfort_totheadultsystem,q7_1processfort_tinuedevaluation,q7_1processfort_tionarrangements,q8_1howisreimbu_thasthmaachieved,q8_2hasyourcomm_iatricasthmacare
BGH,Borders General Hospital,Borders,Scotland,,,,,,,11,Yes,2,No,,No WTE,0,,,No WTE,0,,,1.1-3.0 WTE,3,,,>3.0 WTE,6,,,No WTE,0,,,No WTE,0,,,No WTE,0,,,No WTE,0,,,No WTE,0,,,0.1-1.0 WTE,1,,,1.1-3.0 WTE,1,,,0.1-1.0 WTE,1,,,No WTE,0,,,No WTE,0,No WTE,0,1.1-3.0 WTE,2,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,None,Unticked,Unticked,Unticked,No,No lead,-,-,Yes,-,-,Yes,Single team that works across the community/secondary care interface,Yes,Single team that works across the community/secondary care interface,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,-,-,-,-,No,Neither a paediatric nor adult policy,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-,Less than once a year,No,No,No,No,No,No,No,No,Yes,Locally negotiated tariff,No
BLA,Royal Blackburn Hospital,East Lancashire Hospitals NHS Trust,England,465,60,15,9,1,32,54,No,,No,,>3.0 WTE,5,8,33,>3.0 WTE,15,25,100,>3.0 WTE,11,18,73,>3.0 WTE,17,28,111,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,2,7,No WTE,0,0,0,1.1-3.0 WTE,3,5,20,0.1-1.0 WTE,1,2,7,No WTE,0,0,0,1.1-3.0 WTE,2,3,13,No WTE,0,0,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,All paediatric asthma patients,Unticked,Ticked,Ticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Not applicable - we have specialist advice on site,Not known,-,No,-,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes - paediatric specific,Yes,Yes,Yes,Yes,Yes,No,No,No,-,More than 4 times a year,No,No,No,No,No,No,No,No,Yes,Payment via block contract,No
BNH,Basingstoke and North Hampshire Hospital,Hampshire Hospitals NHS Foundation Trust,England,245,25,1-7,9,1,16,26,Yes,1,No,,1.1-3.0 WTE,2,8,50,1.1-3.0 WTE,2,8,50,1.1-3.0 WTE,2,8,50,>3.0 WTE,9,36,225,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,4,25,No WTE,0,0,0,1.1-3.0 WTE,1,5,30,>3.0 WTE,9,36,225,0.1-1.0 WTE,1,3,20,0.1-1.0 WTE,1,4,25,No WTE,0,0,0,No WTE,0,No WTE,0,1.1-3.0 WTE,2,1.1-3.0 WTE,2,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,1.1-3.0 WTE,2,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,None,Ticked,Unticked,Unticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,Yes,Single team that works across the community/secondary care interface,Yes,Single team that works across the community/secondary care interface,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,-,-,-,-,Yes,Not known,Yes,Yes,No,Yes,Yes,No,Yes,No,-,More than 4 times a year,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Payment via block contract,No
BOL,Royal Bolton Hospital,Bolton NHS Foundation Trust,England,160,20,1-7,5,1,25,31,Yes,3,No,,>3.0 WTE,4,20,100,1.1-3.0 WTE,2,10,50,>3.0 WTE,5,25,125,>3.0 WTE,10,51,255,No WTE,0,0,0,No WTE,0,0,0,1.1-3.0 WTE,2,10,50,1.1-3.0 WTE,2,10,50,0.1-1.0 WTE,0,1,3,1.1-3.0 WTE,2,10,50,No WTE,0,0,0,1.1-3.0 WTE,2,10,50,No WTE,0,0,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,All paediatric asthma patients,Unticked,Ticked,Unticked,Yes,No lead,-,-,Yes,-,-,Yes,Community based team,Yes,Community based team,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes - paediatric specific,No,Yes,No,Yes,Yes,No,Yes,Not known,-,Never,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Locally negotiated tariff,No
BRD,Bradford Royal Infirmary,Bradford Teaching Hospitals NHS Foundation Trust,England,630,105,30,18,3,48,35,No,,No,,1.1-3.0 WTE,2,2,7,>3.0 WTE,5,5,17,>3.0 WTE,6,6,20,>3.0 WTE,13,12,42,1.1-3.0 WTE,2,2,7,0.1-1.0 WTE,1,1,2,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,1,3,0.1-1.0 WTE,1,1,3,No WTE,0,0,0,0.1-1.0 WTE,1,1,3,No WTE,0,0,0,No WTE,0,No WTE,0,No WTE,0,1.1-3.0 WTE,2,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Twice daily,All paediatric asthma patients,Unticked,Ticked,Unticked,Not known,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,No,Yes,Hospital based team,Not known,-,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes - paediatric specific,Yes,Yes,Yes,No,No,No,Yes,No,-,Continuous (every patient),No,Yes,No,Yes,No,Yes,No,Yes,No,Payment via block contract,No
BRG,Bronglais General Hospital,Hywel Dda University LHB,Wales,33,2,0,-,-,0,0,No,,No,,No WTE,0,0,,No WTE,0,0,,No WTE,0,0,,>3.0 WTE,4,200,,No WTE,0,0,,No WTE,0,0,,>3.0 WTE,6,300,,No WTE,0,0,,No WTE,0,0,,No WTE,0,0,,No WTE,0,0,,No WTE,0,0,,No WTE,0,0,,No WTE,0,No WTE,0,No WTE,0,>3.0 WTE,4,No WTE,0,No WTE,0,1.1-3.0 WTE,3,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,None,Unticked,Unticked,Unticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,No,No,Not known,Yes,Single team that works across the community/secondary care interface,No,-,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,-,-,-,-,Yes,Not known,No,Yes,No,Yes,Yes,No,Yes,No,-,Never,No,No,No,No,No,No,No,No,Yes,Other,No
BRO,Princess Royal University Hospital (Bromley),King's College Hospital NHS Foundation Trust,England,145,20,1-7,12,2,28,12,No,,No,,1.1-3.0 WTE,2,10,50,>3.0 WTE,5,25,125,1.1-3.0 WTE,2,10,50,>3.0 WTE,8,40,200,No WTE,0,0,0,No WTE,0,0,0,>3.0 WTE,5,25,125,0.1-1.0 WTE,1,3,13,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,5,25,No WTE,0,0,0,No WTE,0,No WTE,0,1.1-3.0 WTE,2,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,All paediatric asthma patients,Unticked,Ticked,Ticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,No,No,No,Yes,Community based team,No,-,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Not known,Yes,Yes,No,Yes,Yes,No,No,No,-,1-2 times a year,No,No,No,No,No,No,No,No,Yes,Payment via block contract,No
BRT,Queens Hospital,University Hospitals of Derby and Burton NHS Foundation Trust,England,-,-,-,-,-,-,19,Yes,2,No,,1.1-3.0 WTE,2,,,0.1-1.0 WTE,1,,,1.1-3.0 WTE,2,,,>3.0 WTE,7,,,No WTE,0,,,1.1-3.0 WTE,3,,,No WTE,0,,,No WTE,0,,,No WTE,0,,,No WTE,0,,,No WTE,0,,,No WTE,0,,,No WTE,0,,,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Twice daily,None,Unticked,Unticked,Ticked,Not known,Paediatric lead only,No,No,No,No,No,Not known,-,Yes,Single team that works across the community/secondary care interface,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,-,-,-,-,Yes,Yes - paediatric specific,No,Yes,Yes,Yes,Yes,No,Yes,No,-,Less than once a year,No,No,No,No,No,No,No,No,Yes,Other,No
BSL,Bassetlaw District General Hospital,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,England,220,20,1-7,-,-,18,0,No,,No,,0.1-1.0 WTE,1,5,25,>3.0 WTE,5,25,125,>3.0 WTE,5,25,125,>3.0 WTE,5,25,125,0.1-1.0 WTE,1,5,25,No WTE,0,0,0,1.1-3.0 WTE,2,10,50,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,1.1-3.0 WTE,2,>3.0 WTE,4,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,All paediatric asthma patients,Unticked,Unticked,Unticked,No,Paediatric lead only,Yes,Yes - paediatric only,No,Yes,No,Yes,Community based team,Yes,Community based team,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Neither a paediatric nor adult policy,Yes,Yes,No,Yes,Yes,No,No,No,-,1-2 times a year,No,No,No,No,No,No,No,No,Yes,Payment by results,No
CGH,Conquest Hospital,East Sussex Healthcare NHS Trust,England,260,25,10,14,1,39,18,No,,No,,>3.0 WTE,4,16,40,>3.0 WTE,5,20,50,1.1-3.0 WTE,3,12,30,>3.0 WTE,10,40,100,0.1-1.0 WTE,1,4,10,1.1-3.0 WTE,3,12,30,1.1-3.0 WTE,3,12,30,No WTE,0,0,0,1.1-3.0 WTE,2,8,20,1.1-3.0 WTE,2,8,20,0.1-1.0 WTE,1,4,10,0.1-1.0 WTE,1,4,10,No WTE,0,0,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,1.1-3.0 WTE,2,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Daily,None,Unticked,Unticked,Unticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,Yes,Community based team,No,-,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,-,-,-,-,Yes,Yes - paediatric specific,Yes,Yes,No,Yes,Yes,No,Yes,No,-,Continuous (every patient),Yes,Yes,Yes,Yes,No,No,No,Yes,No,Locally negotiated tariff,No
CHE,Chesterfield Royal,Chesterfield Royal Hospital NHS Foundation Trust,England,220,20,1-7,9,1,18,24,Yes,2,No,,>3.0 WTE,6,30,150,No WTE,0,0,0,>3.0 WTE,5,25,125,>3.0 WTE,10,50,250,0.1-1.0 WTE,1,5,25,0.1-1.0 WTE,1,5,25,0.1-1.0 WTE,1,5,25,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,5,25,No WTE,0,0,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,None,Unticked,Unticked,Unticked,No,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,Yes,Both hospital and community-based teams,Yes,Both hospital and community-based teams,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,-,-,-,-,No,Yes - paediatric specific,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Continuous (every patient),No,No,No,No,No,No,No,No,Yes,Other,No
CMI,Cumberland Infirmary,North Cumbria Integrated Care NHS Foundation Trust,England,45,1-7,1-7,2,0,89,20,No,,No,,No WTE,0,0,0,>3.0 WTE,7,170,170,No WTE,0,0,0,>3.0 WTE,6,145,145,No WTE,0,0,0,No WTE,0,0,0,>3.0 WTE,6,150,150,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,None,Unticked,Unticked,Ticked,Yes,Single lead for both adults and paediatrics,Not known,No,No,No,No,Not known,-,Not known,-,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,-,-,-,-,No,Yes - combined adult and paediatric policy,No,Yes,No,Yes,Yes,No,Yes,No,-,Continuous (every patient),No,No,No,No,No,No,No,No,Yes,Locally negotiated tariff,No
COC,Countess of Chester Hospital,Cheshire and Wirral Partnership NHS Foundation Trust,England,-,-,-,-,-,-,22,Yes,2,No,-,1.1-3.0 WTE,2,-,-,>3.0 WTE,8,-,-,>3.0 WTE,7,-,-,>3.0 WTE,9,-,-,No WTE,0,-,-,No WTE,0,-,-,No WTE,0,-,-,0.1-1.0 WTE,0.8,-,-,No WTE,0,-,-,0.1-1.0 WTE,0.6,-,-,No WTE,0,-,-,0.1-1.0 WTE,0.6,-,-,No WTE,0,-,-,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,-,All paediatric asthma patients,No,Yes,No,No,Adult lead only,Yes,No,No,No,Yes,Yes,Both hospital and community-based teams,Not known,-,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Not known,Yes,Yes,Yes,Yes,Yes,No,No,No,-,Less than once a year,No,No,No,No,No,No,No,No,Yes,Payment by results,No
CRY,Croydon University Hospital,Croydon Health Services NHS Trust,England,-,-,-,-,-,-,15,No,-,No,-,0.1-1.0 WTE,1,-,-,>3.0 WTE,7,-,-,>3.0 WTE,9,-,-,>3.0 WTE,9,-,-,No WTE,0,-,-,No WTE,0,-,-,No WTE,0,-,-,1.1-3.0 WTE,2,-,-,No WTE,0,-,-,No WTE,0,-,-,No WTE,0,-,-,0.1-1.0 WTE,1,-,-,-,-,-,-,-,-,0.1-1.0 WTE,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Twice daily,Twice daily,All paediatric asthma patients,No,Yes,No,No,Paediatric lead only,Yes,No,No,No,No,Yes,Both hospital and community-based teams,Yes,Both hospital and community-based teams,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Not known,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Less than once a year,No,No,No,No,No,No,No,No,Yes,Payment via block contract,No
DAR,Darlington Memorial Hospital,County Durham and Darlington NHS Foundation Trust,England,70,10,1-7,5,1,57,15,Yes,1,No,,1.1-3.0 WTE,2,20,50,0.1-1.0 WTE,1,10,25,1.1-3.0 WTE,2,20,50,>3.0 WTE,8,80,200,0.1-1.0 WTE,0,2,5,0.1-1.0 WTE,1,10,25,No WTE,0,0,0,0.1-1.0 WTE,1,5,13,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,10,25,0.1-1.0 WTE,1,10,25,No WTE,0,0,0,No WTE,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,0.1-1.0 WTE,1,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Daily,All paediatric asthma patients,Unticked,Unticked,Ticked,No,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,Yes,Community based team,No,-,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Neither a paediatric nor adult policy,Yes,Yes,No,Yes,Yes,No,Yes,No,-,Less than once a year,No,No,No,No,No,No,No,No,Yes,Payment via block contract,No
DER,Royal Derby Hospital,University Hospitals of Derby and Burton NHS Foundation Trust,England,260,30,1-7,9,1,15,28,Yes,4,No,,>3.0 WTE,5,17,125,>3.0 WTE,7,23,175,>3.0 WTE,12,40,300,>3.0 WTE,13,43,325,1.1-3.0 WTE,2,7,50,0.1-1.0 WTE,1,3,25,No WTE,0,0,0,0.1-1.0 WTE,1,3,25,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,3,25,No WTE,0,0,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,Daily,Daily,All paediatric asthma patients,Unticked,Unticked,Unticked,Yes,Single lead for both adults and paediatrics,Yes,No,Yes,-,Yes,Not known,-,Not known,-,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes - paediatric specific,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-,Less than once a year,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Other,No
DID,Doncaster Royal Infirmary,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,England,220,20,1-7,6,1,18,39,Yes,2,No,,0.1-1.0 WTE,1,5,25,>3.0 WTE,10,50,250,>3.0 WTE,11,55,275,>3.0 WTE,13,65,325,0.1-1.0 WTE,1,5,25,No WTE,0,0,0,1.1-3.0 WTE,3,15,75,0.1-1.0 WTE,1,5,25,No WTE,0,0,0,1.1-3.0 WTE,3,15,75,No WTE,0,0,0,0.1-1.0 WTE,1,5,25,No WTE,0,0,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,All paediatric asthma patients,Unticked,Unticked,Unticked,No,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,Yes,Community based team,Yes,Community based team,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Neither a paediatric nor adult policy,Yes,Yes,No,Yes,Yes,No,No,No,-,1-2 times a year,No,No,No,No,No,No,No,No,Yes,Payment by results,No
DRY,University Hospital of North Durham,County Durham and Darlington NHS Foundation Trust,England,840,140,25,35,6,30,24,No,,No,,>3.0 WTE,4,3,16,>3.0 WTE,6,4,24,>3.0 WTE,9,6,36,>3.0 WTE,10,7,40,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,1,4,0.1-1.0 WTE,1,1,4,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,0,2,No WTE,0,0,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,All paediatric asthma patients,Unticked,Unticked,Ticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,Yes,Hospital based team,Yes,Hospital based team,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes - paediatric specific,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-,Continuous (every patient),No,No,No,No,No,No,No,No,Yes,Payment via block contract,No
DUD,Birmingham City Hospital,Sandwell and West Birmingham Hospitals NHS Trust,England,230,30,15,21,3,65,11,Yes,1,No,,>3.0 WTE,4,13,27,>3.0 WTE,5,17,33,>3.0 WTE,10,33,67,>3.0 WTE,12,40,80,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,3,7,0.1-1.0 WTE,1,3,7,No WTE,0,0,0,No WTE,0,0.1-1.0 WTE,1,1.1-3.0 WTE,3,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,None,Unticked,Unticked,Ticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,Yes,Community based team,Yes,Community based team,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,-,-,-,-,Yes,Yes - paediatric specific,Yes,Yes,No,Yes,Yes,No,Yes,No,-,Never,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Payment via block contract,No
DVH,Darent Valley Hospital,Dartford and Gravesham NHS Trust,England,315,40,10,14,2,32,22,No,,No,,>3.0 WTE,5,13,50,>3.0 WTE,8,20,80,>3.0 WTE,12,30,120,>3.0 WTE,10,25,98,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,0,1,4,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0.1-1.0 WTE,1,0.1-1.0 WTE,1,0.1-1.0 WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,None,Unticked,Ticked,Ticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,No,No,-,No,-,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,-,-,-,-,Yes,Not known,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-,1-2 times a year,No,No,No,No,No,No,No,No,Yes,Locally negotiated tariff,No
